test_country,lg_accuracy,lg_f1,lg_sensitivity,lg_specificity,lg_auc,lgbm_accuracy,lgbm_f1,lgbm_sensitivity,lgbm_specificity,lgbm_auc,xgb_accuracy,xgb_f1,xgb_sensitivity,xgb_specificity,xgb_auc,tabpfn_accuracy,tabpfn_f1,tabpfn_sensitivity,tabpfn_specificity,tabpfn_auc
Gabon_DHS_2019_2021,0.587894397939472,0.6572652624062835,0.57227230338825,0.6227461858529819,0.6288655060214525,0.5009658725048294,0.5254133496631965,0.4000621697233447,0.7260748959778086,0.6059860131056536,0.4960291908134793,0.5114440282979609,0.3820329499533727,0.7503467406380028,0.6083410901775718,0.527795664305645,0.5709828393135725,0.4550823748834318,0.6900138696255201,0.6089307756082566
Malawi_DHS_2024,0.6108796863513845,0.508359133126935,0.4163286004056795,0.7927927927927928,0.6662807517670333,0.6015682430776771,0.4696673189823874,0.3651115618661257,0.822664770033191,0.6639881046841654,0.5981377113452585,0.426974143955276,0.3098377281947261,0.8677098150782361,0.6672656162087143,0.6152903700073511,0.4932214331826985,0.3874239350912778,0.8283546704599336,0.6663221083793306
Rwanda_DHS_2019_2020,0.6423166472642607,0.2908251586843624,0.2004773269689737,0.8972005507113354,0.6399273750339084,0.6507566938300349,0.2601726263871763,0.167859984089101,0.9293253786140432,0.6349372381118239,0.6545401629802096,0.2810417928528165,0.1845664280031821,0.9256539697108764,0.6327309608642269,0.6626891734575088,0.3635365183964854,0.2633253778838504,0.893070215695273,0.6384814109367533
Sierra_Leone_DHS_2019,0.5772079772079772,0.6508235294117647,0.5654129190515127,0.6043233082706767,0.6181574643886905,0.5717948717948718,0.651356993736952,0.5739983646770237,0.5667293233082706,0.5856619523051292,0.5806267806267806,0.660359944623904,0.5850367947669665,0.5704887218045113,0.5930812312875402,0.6074074074074074,0.6996512641673932,0.6561733442354865,0.4953007518796992,0.6006225062861569
Haiti_DHS_2016-2017,0.5912038913660316,0.6460782593437445,0.5616229408175717,0.6497584541062802,0.6431456010351546,0.6100526955816782,0.6814569536423841,0.6278218425869433,0.5748792270531401,0.635996306808971,0.5828942034860154,0.6339381003201707,0.5436241610738255,0.6606280193236715,0.6301480481794897,0.6224158897446291,0.6991764895850153,0.660463697376449,0.5471014492753623,0.6380005003345388
Jordan_DHS_2023,0.6192545163503316,0.4481272787537289,0.4424083769633508,0.7142355008787347,0.6116045878228545,0.627486851131946,0.3579030350808041,0.2971204188481675,0.804920913884007,0.5758264016047259,0.6313743425565973,0.3515687851971038,0.2859947643979058,0.8168717047451669,0.5756531850679524,0.6098788017379373,0.4092797783933518,0.3867801047120419,0.729701230228471,0.5989058373742857
Armenia_DHS_2015-2016,0.786921381337252,0.1212121212121212,0.091324200913242,0.9203152364273204,0.6318882997864836,0.8052902277736959,0.1533546325878594,0.1095890410958904,0.9387040280210156,0.6514566290014314,0.807494489346069,0.2012195121951219,0.1506849315068493,0.9334500875656744,0.6432598421418804,0.7817781043350478,0.2204724409448819,0.1917808219178082,0.8949211908931699,0.6525042183464081
Kyrgyz_Republic_DHS_2012,0.581974011611833,0.2947761194029851,0.1984924623115578,0.8834567901234568,0.6305471803461753,0.5969035111971247,0.3873949579831933,0.289572864321608,0.8385185185185186,0.621821452943731,0.5980094000552945,0.3802216538789428,0.2801507537688442,0.8479012345679012,0.6268999317575532,0.6043682609897705,0.4328180737217598,0.342964824120603,0.8098765432098766,0.6304024753396613
Liberia_DHS_2019_2020,0.5872794800371403,0.6826133523741521,0.6240208877284595,0.4967845659163987,0.5912253490383081,0.6025998142989787,0.7029840388619014,0.6612271540469974,0.4581993569131832,0.5853653673402567,0.5552460538532962,0.6446587537091988,0.5672323759791122,0.5257234726688103,0.5697950685483533,0.6002785515320335,0.6973637961335677,0.6475195822454308,0.4839228295819935,0.5865318017344874
Bolivia_DHS_2008,0.4259882253994954,0.1547987616099071,0.0865051903114186,0.9517684887459807,0.4970341607420346,0.5807401177460051,0.562143170838823,0.4429065743944637,0.7942122186495176,0.6532553024992861,0.5323801513877208,0.4724857685009487,0.344636678200692,0.8231511254019293,0.6518230064864985,0.5063078216989066,0.4004085801838611,0.271280276816609,0.8703108252947481,0.6427890089268165
