country,lg_accuracy,lg_f1,lg_sensitivity,lg_specificity,lg_auc,lgbm_accuracy,lgbm_f1,lgbm_sensitivity,lgbm_specificity,lgbm_auc,xgb_accuracy,xgb_f1,xgb_sensitivity,xgb_specificity,xgb_auc,tabpfn_accuracy,tabpfn_f1,tabpfn_sensitivity,tabpfn_specificity,tabpfn_auc
Gabon_DHS_2019_2021,0.6931330472103004,0.8125819134993447,0.9627329192546584,0.09027777777777778,0.6303916494133885,0.6845493562231759,0.8042609853528628,0.937888198757764,0.11805555555555555,0.6310278640441684,0.6920600858369099,0.8122956180510137,0.9642857142857143,0.08333333333333333,0.6393633540372671,0.6909871244635193,0.8107752956636005,0.9580745341614907,0.09375,0.6333408816425121
Malawi_DHS_2024,0.605875152998776,0.5964912280701754,0.6025316455696202,0.6090047393364929,0.6550362949187113,0.6193390452876377,0.5934640522875817,0.5746835443037974,0.6611374407582938,0.6726558281840542,0.6450428396572827,0.6243523316062176,0.610126582278481,0.6777251184834123,0.6792159097726318,0.6266829865361077,0.5872801082543978,0.549367088607595,0.6990521327014217,0.679644849721039
Rwanda_DHS_2019_2020,0.6191860465116279,0.5435540069686411,0.6190476190476191,0.6192660550458715,0.659713120722295,0.6598837209302325,0.44019138755980863,0.36507936507936506,0.8302752293577982,0.6661205766710354,0.6511627906976745,0.4146341463414634,0.3373015873015873,0.8325688073394495,0.6545707732634338,0.688953488372093,0.43386243386243384,0.3253968253968254,0.8990825688073395,0.6788945318188437
Sierra_Leone_DHS_2019,0.7051282051282052,0.8223175965665236,0.9795501022494888,0.07511737089201878,0.6092821413827203,0.6837606837606838,0.8017857142857143,0.918200408997955,0.14553990610328638,0.6138521654809567,0.7037037037037037,0.8194444444444444,0.9652351738241309,0.10328638497652583,0.6053409756425396,0.6965811965811965,0.8142981691368788,0.9550102249488752,0.10328638497652583,0.6194926889215319
Haiti_DHS_2016-2017,0.6676798378926039,0.7864583333333334,0.9207317073170732,0.1661631419939577,0.657081276250829,0.6605876393110436,0.7722637661454793,0.8658536585365854,0.2537764350453172,0.6597800456856533,0.6798378926038501,0.7923784494086727,0.9192073170731707,0.2054380664652568,0.6665430882027853,0.6767983789260384,0.7880398671096346,0.9039634146341463,0.22658610271903323,0.6724149841573943
Jordan_DHS_2023,0.6102857142857143,0.533515731874145,0.6372549019607843,0.5957820738137083,0.653135302158356,0.6422857142857142,0.4060721062618596,0.34967320261437906,0.7996485061511424,0.6223681036562252,0.6594285714285715,0.4063745019920319,0.3333333333333333,0.8347978910369068,0.6340156449222923,0.6685714285714286,0.3062200956937799,0.20915032679738563,0.9156414762741653,0.66511308682817
Armenia_DHS_2015-2016,0.673992673992674,0.3597122302158273,0.5681818181818182,0.6943231441048034,0.7284636760619294,0.8424908424908425,0.2711864406779661,0.18181818181818182,0.9694323144104804,0.71347757046447,0.8461538461538461,0.3,0.20454545454545456,0.9694323144104804,0.7407701468836839,0.8388278388278388,0.0,0.0,1.0,0.7588824930527988
Kyrgyz_Republic_DHS_2012,0.5787292817679558,0.5494830132939439,0.5830721003134797,0.5753086419753086,0.6282673478075778,0.600828729281768,0.5076660988074957,0.4670846394984326,0.7061728395061728,0.6317736754518364,0.6174033149171271,0.5360134003350083,0.5015673981191222,0.7086419753086419,0.636115948759627,0.6022099447513812,0.5167785234899329,0.4827586206896552,0.6962962962962963,0.65855876775417
Liberia_DHS_2019_2020,0.7238979118329466,0.8367626886145405,0.993485342019544,0.056451612903225805,0.5885257959441,0.6960556844547564,0.8115107913669065,0.9185667752442996,0.14516129032258066,0.5828517389933803,0.7099767981438515,0.8231966053748232,0.9478827361563518,0.12096774193548387,0.5999264474098981,0.7215777262180975,0.8328690807799443,0.9739413680781759,0.0967741935483871,0.6069008090784911
Bolivia_DHS_2008,0.6659663865546218,0.7519500780031201,0.8339100346020761,0.40641711229946526,0.6941324500860426,0.6512605042016807,0.7205387205387206,0.740484429065744,0.5133689839572193,0.6691338378698444,0.6911764705882353,0.7601957585644372,0.8062283737024222,0.5133689839572193,0.730288844068612,0.6722689075630253,0.7442622950819672,0.7854671280276817,0.49732620320855614,0.7248024721055456
