country,model,bin,mean_predicted_probability,observed_probability,n
Malawi_DHS_2024,XGBoost,8,0.613556444644928,0.6419753086419753,81
Malawi_DHS_2024,XGBoost,9,0.6801706552505493,0.7560975609756098,82
Malawi_DHS_2024,XGBoost,10,0.7689025402069092,0.6585365853658537,82
Malawi_DHS_2024,TabPFN,1,0.22473593056201935,0.21951219512195122,82
Malawi_DHS_2024,TabPFN,2,0.2834465801715851,0.24390243902439024,82
Malawi_DHS_2024,TabPFN,3,0.33149442076683044,0.4691358024691358,81
Malawi_DHS_2024,TabPFN,4,0.3741704225540161,0.4268292682926829,82
Malawi_DHS_2024,TabPFN,5,0.42843061685562134,0.4268292682926829,82
Malawi_DHS_2024,TabPFN,6,0.4848802387714386,0.49382716049382713,81
Malawi_DHS_2024,TabPFN,7,0.5484845042228699,0.5,82
Malawi_DHS_2024,TabPFN,8,0.6261937618255615,0.6296296296296297,81
Malawi_DHS_2024,TabPFN,9,0.7038513422012329,0.6707317073170732,82
Malawi_DHS_2024,TabPFN,10,0.7915794849395752,0.7560975609756098,82
Rwanda_DHS_2019_2020,LogReg,1,0.2727482087071104,0.15942028985507245,69
Rwanda_DHS_2019_2020,LogReg,2,0.3060631422907663,0.21739130434782608,69
Rwanda_DHS_2019_2020,LogReg,3,0.3266023305029765,0.3333333333333333,69
Rwanda_DHS_2019_2020,LogReg,4,0.34432314450838075,0.3382352941176471,68
Rwanda_DHS_2019_2020,LogReg,5,0.36212492041937305,0.2463768115942029,69
Rwanda_DHS_2019_2020,LogReg,6,0.3786908420436757,0.43478260869565216,69
Rwanda_DHS_2019_2020,LogReg,7,0.39530330318192536,0.38235294117647056,68
Rwanda_DHS_2019_2020,LogReg,8,0.41374912653433954,0.5507246376811594,69
Rwanda_DHS_2019_2020,LogReg,9,0.43550110886955995,0.4492753623188406,69
Rwanda_DHS_2019_2020,LogReg,10,0.47565351877348994,0.5507246376811594,69
Rwanda_DHS_2019_2020,LightGBM,1,0.09911575153432588,0.10144927536231885,69
Rwanda_DHS_2019_2020,LightGBM,2,0.1596182577182593,0.2898550724637681,69
Rwanda_DHS_2019_2020,LightGBM,3,0.20719673605390942,0.2608695652173913,69
Rwanda_DHS_2019_2020,LightGBM,4,0.26083955322800323,0.25,68
Rwanda_DHS_2019_2020,LightGBM,5,0.31413237127078764,0.2898550724637681,69
Rwanda_DHS_2019_2020,LightGBM,6,0.3648076136621269,0.4057971014492754,69
Rwanda_DHS_2019_2020,LightGBM,7,0.4193659793784243,0.5147058823529411,68
Rwanda_DHS_2019_2020,LightGBM,8,0.499997940107682,0.42028985507246375,69
Rwanda_DHS_2019_2020,LightGBM,9,0.5831202680198441,0.4492753623188406,69
Rwanda_DHS_2019_2020,LightGBM,10,0.7384574603858651,0.6811594202898551,69
Rwanda_DHS_2019_2020,XGBoost,1,0.16900552809238434,0.18840579710144928,69
Rwanda_DHS_2019_2020,XGBoost,2,0.2185683250427246,0.2608695652173913,69
Rwanda_DHS_2019_2020,XGBoost,3,0.25082576274871826,0.3188405797101449,69
Rwanda_DHS_2019_2020,XGBoost,4,0.28380274772644043,0.20588235294117646,68
Rwanda_DHS_2019_2020,XGBoost,5,0.3241192102432251,0.3188405797101449,69
Rwanda_DHS_2019_2020,XGBoost,6,0.36398252844810486,0.30434782608695654,69
Rwanda_DHS_2019_2020,XGBoost,7,0.406328409910202,0.4852941176470588,68
Rwanda_DHS_2019_2020,XGBoost,8,0.4629340171813965,0.42028985507246375,69
Rwanda_DHS_2019_2020,XGBoost,9,0.530447781085968,0.4492753623188406,69
Rwanda_DHS_2019_2020,XGBoost,10,0.6455322504043579,0.7101449275362319,69
Rwanda_DHS_2019_2020,TabPFN,1,0.16543297469615936,0.08695652173913043,69
Rwanda_DHS_2019_2020,TabPFN,2,0.20680037140846252,0.2608695652173913,69
Rwanda_DHS_2019_2020,TabPFN,3,0.23921918869018555,0.30434782608695654,69
Rwanda_DHS_2019_2020,TabPFN,4,0.2681223750114441,0.3088235294117647,68
Rwanda_DHS_2019_2020,TabPFN,5,0.30162227153778076,0.34782608695652173,69
Rwanda_DHS_2019_2020,TabPFN,6,0.34429624676704407,0.3142857142857143,70
Rwanda_DHS_2019_2020,TabPFN,7,0.38982975482940674,0.373134328358209,67
Rwanda_DHS_2019_2020,TabPFN,8,0.4431697726249695,0.42028985507246375,69
Rwanda_DHS_2019_2020,TabPFN,9,0.5372070670127869,0.5217391304347826,69
Rwanda_DHS_2019_2020,TabPFN,10,0.6568909287452698,0.7246376811594203,69
Sierra_Leone_DHS_2019,LogReg,1,0.5552436376967607,0.5211267605633803,71
Sierra_Leone_DHS_2019,LogReg,2,0.6282582680987113,0.6571428571428571,70
Sierra_Leone_DHS_2019,LogReg,3,0.6547798789663981,0.6142857142857143,70
Sierra_Leone_DHS_2019,LogReg,4,0.6756740918025974,0.7142857142857143,70
Sierra_Leone_DHS_2019,LogReg,5,0.6921528843660089,0.6142857142857143,70
Sierra_Leone_DHS_2019,LogReg,6,0.7099365957930062,0.7285714285714285,70
Sierra_Leone_DHS_2019,LogReg,7,0.7253521068056769,0.7285714285714285,70
Sierra_Leone_DHS_2019,LogReg,8,0.7392507690294761,0.7571428571428571,70
Sierra_Leone_DHS_2019,LogReg,9,0.7573090208346129,0.8,70
Sierra_Leone_DHS_2019,LogReg,10,0.7909944399671848,0.8309859154929577,71
Sierra_Leone_DHS_2019,LightGBM,1,0.37674648801055577,0.5915492957746479,71
Sierra_Leone_DHS_2019,LightGBM,2,0.5411043348927925,0.5714285714285714,70
Sierra_Leone_DHS_2019,LightGBM,3,0.6242147818817938,0.6714285714285714,70
Sierra_Leone_DHS_2019,LightGBM,4,0.6747688006367709,0.6857142857142857,70
Sierra_Leone_DHS_2019,LightGBM,5,0.7281077350052515,0.7714285714285715,70
Sierra_Leone_DHS_2019,LightGBM,6,0.7753485368205467,0.7,70
Sierra_Leone_DHS_2019,LightGBM,7,0.8073280387553442,0.5857142857142857,70
Sierra_Leone_DHS_2019,LightGBM,8,0.8392838822268343,0.7142857142857143,70
Sierra_Leone_DHS_2019,LightGBM,9,0.8780179758959611,0.8285714285714286,70
Sierra_Leone_DHS_2019,LightGBM,10,0.9317911478990115,0.8450704225352113,71
Sierra_Leone_DHS_2019,XGBoost,1,0.4645899832248688,0.5492957746478874,71
Sierra_Leone_DHS_2019,XGBoost,2,0.5952805876731873,0.5857142857142857,70
Sierra_Leone_DHS_2019,XGBoost,3,0.6453835368156433,0.7714285714285715,70
Sierra_Leone_DHS_2019,XGBoost,4,0.6857471466064453,0.5714285714285714,70
Sierra_Leone_DHS_2019,XGBoost,5,0.71892249584198,0.6714285714285714,70
Sierra_Leone_DHS_2019,XGBoost,6,0.7429156303405762,0.7,70
Sierra_Leone_DHS_2019,XGBoost,7,0.7699785828590393,0.7285714285714285,70
Sierra_Leone_DHS_2019,XGBoost,8,0.7972789406776428,0.7285714285714285,70
Sierra_Leone_DHS_2019,XGBoost,9,0.8260433673858643,0.8714285714285714,70
Sierra_Leone_DHS_2019,XGBoost,10,0.8726363778114319,0.7887323943661971,71
Sierra_Leone_DHS_2019,TabPFN,1,0.46320655941963196,0.4225352112676056,71
Sierra_Leone_DHS_2019,TabPFN,2,0.5922144651412964,0.7285714285714285,70
Sierra_Leone_DHS_2019,TabPFN,3,0.64642333984375,0.6,70
Sierra_Leone_DHS_2019,TabPFN,4,0.6883474588394165,0.7714285714285715,70
Sierra_Leone_DHS_2019,TabPFN,5,0.7228240370750427,0.7142857142857143,70
Sierra_Leone_DHS_2019,TabPFN,6,0.7531625628471375,0.6285714285714286,70
Sierra_Leone_DHS_2019,TabPFN,7,0.7779606580734253,0.6571428571428571,70
Sierra_Leone_DHS_2019,TabPFN,8,0.8029199242591858,0.8,70
Sierra_Leone_DHS_2019,TabPFN,9,0.829686164855957,0.8,70
Sierra_Leone_DHS_2019,TabPFN,10,0.8682785630226135,0.8450704225352113,71
Haiti_DHS_2016-2017,LogReg,1,0.52830141219115,0.48484848484848486,99
Haiti_DHS_2016-2017,LogReg,2,0.5830907568250456,0.494949494949495,99
