country,lg_brier,lg_calib_intercept,lg_calib_slope,lg_ece,lgbm_brier,lgbm_calib_intercept,lgbm_calib_slope,lgbm_ece,xgb_brier,xgb_calib_intercept,xgb_calib_slope,xgb_ece,tabpfn_brier,tabpfn_calib_intercept,tabpfn_calib_slope,tabpfn_ece
Gabon_DHS_2019_2021,0.20737249465896912,0.10933037699707306,0.9104299831191587,0.02876986011068111,0.21067892943340144,0.33350196404369864,0.49394453319010995,0.06227567371546399,0.20478417091992018,0.09353143454594495,0.7848857462583494,0.031148766755034484,0.20519784523279933,0.11684559002134744,0.732937135448925,0.033609461854711635
Malawi_DHS_2024,0.2346916303906744,0.054854721018859694,1.8869524106538968,0.044137158998037246,0.230225929362492,-0.05348370476806041,0.6738386871647811,0.06172786816949681,0.22717111891923789,-0.02149839209314381,0.9116081870318138,0.03468953782517002,0.22582692359634862,0.004450944167811506,0.8621167744141708,0.03751187249014982
Rwanda_DHS_2019_2020,0.22219328251633402,0.48756311234680666,1.9956774774367863,0.05109220801783589,0.2118329533413396,-0.12068387603750691,0.7422337444940973,0.05902812013356871,0.21191506793982648,-0.0017516080962478929,0.9905419920488224,0.03146524272512559,0.20914504803229264,0.06672675048205508,1.0248027037385687,0.042669772127166744
Sierra_Leone_DHS_2019,0.20535840166300595,-0.13430133896398144,1.1915122816340051,0.022472495857823262,0.2171258153017706,0.4596675125944901,0.3615400183566773,0.08286425185538981,0.20730708705327244,0.23828755186825767,0.6384251937109285,0.03979556788915924,0.20430857660118365,0.1464212097918825,0.7307462571420629,0.0443197422557407
Haiti_DHS_2016-2017,0.21157427678276977,-0.43495572473040783,1.7141261282855818,0.0389686136730461,0.21187728164224326,0.185358383096524,0.6411085224036174,0.049734360175528194,0.20926631341688956,0.04542792507752554,0.8689037344805356,0.024294527860881106,0.20570141936952283,-0.00390847567502586,0.8956031231675294,0.024750140088911392
Jordan_DHS_2023,0.2172407314636769,0.21850928969423714,1.6260583394175125,0.04820258441970817,0.21799166256156954,-0.20471040419744552,0.6243349082205013,0.06185420534183504,0.21352692327897266,-0.014771976064431189,0.9738168000096976,0.03363855510098593,0.20985078776463534,0.0561082276142216,1.0576929592154274,0.015348024845123294
Armenia_DHS_2015-2016,0.13578757504008312,-0.38125329857669993,0.9906120278591425,0.055860138115722505,0.12702158538134606,-0.3872696444785875,0.4736311059703923,0.07252275369132848,0.11889924513739533,0.33585832898041296,1.0849836753074438,0.030262688386352946,0.11933361159078039,0.2700114671008949,1.076534514038866,0.028988251305652628
Kyrgyz_Republic_DHS_2012,0.237426791383265,0.11739683463418124,1.538540238655573,0.02609750167426259,0.24326924061295804,-0.0909916483259108,0.46758353789887,0.07719908857246607,0.23154104828829541,-0.026337358902793054,0.7649581770772794,0.04404721668412014,0.22786569663604772,-0.009534903755786191,0.8179111378127855,0.04907013901936415
Liberia_DHS_2019_2020,0.2048450377411508,0.43851406118720476,0.5599395334004293,0.04779189692087782,0.21792828725081825,0.5592324304680567,0.2779002591825928,0.11832687622865634,0.2052980996172612,0.41407393750990784,0.47381192642934744,0.07101284475724823,0.19909622846133526,0.15609121703898549,0.7247117627932582,0.037599363971475626
Bolivia_DHS_2008,0.2223164142285264,-0.3127187053058661,2.0821226266556976,0.0526395621063208,0.23004587011884958,0.1859669696136377,0.47530088170004586,0.10050950952817753,0.21070281296295412,0.017626344761019926,0.9146855456105681,0.031647693835386716,0.20344337151151215,0.0029516544361079793,0.9489532425027857,0.039310261419340346
Congo_DRC_DHS_2021_2022,0.22019069085013737,-0.12823477031328528,1.2127984722251246,0.018320334433873403,0.2185406328319852,0.11836123267324011,0.760349703570468,0.030619922775210928,0.2181844266529855,0.013037398396933672,0.9243893113702576,0.016708981669401005,0.21469608032853693,-0.046552460421987685,0.9672807516182695,0.01872882815013259
Guatemala_DHS_2014_2015,0.198501242516258,0.2236842961730605,1.5018888509537982,0.047570036438112515,0.1851020363279885,-0.025234223892431514,0.9959791920432605,0.025322728634269917,0.18656922283150051,0.12984438145472862,1.19834688082811,0.0345302523617338,0.1814047670400886,0.049779010751637515,1.011873160122857,0.02952275089076578
Ghana_DHS_2022,0.2285592557484101,-0.08410234708948357,1.3330264556327989,0.05479078749870039,0.23144141227832035,0.027587897368387966,0.6448970025774876,0.05656535693409192,0.22564652711367625,-0.0045242929462734225,0.944698077365248,0.03524262896299057,0.21914883802337765,-0.023309922057554888,0.9483104914583472,0.023680682942520553
Gambia_DHS_2019_2020,0.22401785832662882,-0.090379621456643,1.6156413969715386,0.059063284640039584,0.22069910638219636,0.03897935871634442,0.6802207447528499,0.0744941909439786,0.21352542109576428,-0.011183808030044338,1.0147399526821947,0.055175415750678275,0.21071401483005123,-0.005618847054024172,0.9398657580699719,0.03980192150778444
Cameroon_DHS_2018,0.2336475956527533,-0.061437136822352446,1.247804022406707,0.03232648692273772,0.24532332498686685,0.13854680130693314,0.4306389723223219,0.08892209850199209,0.23839399671089598,0.07837288708181905,0.6051891289441903,0.0639907170581937,0.23217936533374992,0.03886228195798409,0.7515194895183995,0.04530448382510277
Mali_DHS_2023_2024,0.18542854037441087,-0.49797130968043996,1.5912572611784461,0.04434741140217791,0.18190766368448547,0.1824970966319441,0.7452562093669559,0.04341956462589854,0.18087366045814343,-0.08318375584340777,1.0511965012571611,0.020535133761435276,0.17904311669203882,-0.04183125701664935,0.9675926807490743,0.03135090897269282
