country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Gambia_DHS_2019_2020,0.01,32,3242,LogReg,0.5456508328192474,0.6949679022571961,0.9693818601964183,0.060225016545334215,0.5950176273283423
Gambia_DHS_2019_2020,0.01,32,3242,LightGBM,0.5339296730413325,0.6961592600040217,1.0,0.0,0.5
Gambia_DHS_2019_2020,0.01,32,3242,XGBoost,0.5684762492288711,0.5847432472543782,0.5690352397458117,0.5678358702845797,0.5943020965834602
Gambia_DHS_2019_2020,0.01,32,3242,TabPFN,0.5564466378778532,0.5602446483180428,0.5291738879260544,0.5876902713434812,0.5803420783692552
Gambia_DHS_2019_2020,0.02,65,3209,LogReg,0.5565596759114989,0.7014894063352213,0.9760653823701109,0.07620320855614973,0.6212000243498133
Gambia_DHS_2019_2020,0.02,65,3209,LightGBM,0.6098473044562169,0.6377314814814815,0.6433158201984822,0.571524064171123,0.6441257246410744
Gambia_DHS_2019_2020,0.02,65,3209,XGBoost,0.6004985976939856,0.6299076212471132,0.6368943374197314,0.5588235294117647,0.6250204866216507
Gambia_DHS_2019_2020,0.02,65,3209,TabPFN,0.5777500779058897,0.6556543837357052,0.7530647985989493,0.3770053475935829,0.6084343226225373
Gambia_DHS_2019_2020,0.05,163,3111,LogReg,0.586628093860495,0.705720823798627,0.9283564118001204,0.19517241379310346,0.6657867092943595
Gambia_DHS_2019_2020,0.05,163,3111,LightGBM,0.5904853744776599,0.6281377699941623,0.6478025285972305,0.5248275862068965,0.6180744877410783
Gambia_DHS_2019_2020,0.05,163,3111,XGBoost,0.5972356155576984,0.6539629936481635,0.7128236002408188,0.46482758620689657,0.627158961157591
Gambia_DHS_2019_2020,0.05,163,3111,TabPFN,0.6129861780777885,0.6703176341730559,0.7369054786273329,0.4710344827586207,0.6491843301708569
Gambia_DHS_2019_2020,0.1,327,2947,LogReg,0.5961995249406176,0.7036852589641435,0.898283534647171,0.25036390101892286,0.6776928906742326
Gambia_DHS_2019_2020,0.1,327,2947,LightGBM,0.6131659314557176,0.6494464944649446,0.6713286713286714,0.5465793304221251,0.6578775201244434
Gambia_DHS_2019_2020,0.1,327,2947,XGBoost,0.6267390566677977,0.6728138013087448,0.71900826446281,0.5211062590975255,0.6697430530300716
Gambia_DHS_2019_2020,0.1,327,2947,TabPFN,0.6532066508313539,0.694560669456067,0.7387158296249206,0.5553129548762736,0.7066610774431338
Gambia_DHS_2019_2020,0.2,654,2620,LogReg,0.6129770992366412,0.7089552238805971,0.8827734095782702,0.30384930384930386,0.6847420557213265
Gambia_DHS_2019_2020,0.2,654,2620,LightGBM,0.6416030534351145,0.6756476683937824,0.6990707648320229,0.5757575757575758,0.680830287692332
Gambia_DHS_2019_2020,0.2,654,2620,XGBoost,0.6469465648854962,0.6833276275248202,0.7133666904932094,0.5708435708435708,0.6859310411847939
Gambia_DHS_2019_2020,0.2,654,2620,TabPFN,0.648473282442748,0.68448098663926,0.7140814867762688,0.5733005733005733,0.7112073734661297
Gambia_DHS_2019_2020,0.35,1145,2129,LogReg,0.6364490371066228,0.7129080118694362,0.8452066842568162,0.3971774193548387,0.7069307316934774
Gambia_DHS_2019_2020,0.35,1145,2129,LightGBM,0.6392672616251761,0.6712328767123288,0.6895338610378188,0.5816532258064516,0.6865424716997192
Gambia_DHS_2019_2020,0.35,1145,2129,XGBoost,0.6453734147487084,0.6863315330286663,0.7264731750219877,0.5524193548387096,0.6883258681589923
Gambia_DHS_2019_2020,0.35,1145,2129,TabPFN,0.6622827618600282,0.7000417188151856,0.7379067722075637,0.5756048387096774,0.7236746212443611
Gambia_DHS_2019_2020,0.5,1637,1637,LogReg,0.6414172266340867,0.7137981472452463,0.8375286041189931,0.4167758846657929,0.713192534587366
Gambia_DHS_2019_2020,0.5,1637,1637,LightGBM,0.6469150885766646,0.6844978165938864,0.717391304347826,0.5661861074705111,0.6900063281458533
Gambia_DHS_2019_2020,0.5,1637,1637,XGBoost,0.6487477092241906,0.691358024691358,0.7368421052631579,0.5478374836173001,0.6971427371780068
Gambia_DHS_2019_2020,0.5,1637,1637,TabPFN,0.6597434331093464,0.7026161238654565,0.7528604118993135,0.5530799475753604,0.7245434587665815
Gambia_DHS_2019_2020,0.7,2291,983,LogReg,0.6307222787385555,0.6992543496271748,0.8038095238095239,0.43231441048034935,0.7021210230817218
Gambia_DHS_2019_2020,0.7,2291,983,LightGBM,0.6439471007121058,0.6806569343065694,0.7104761904761905,0.5676855895196506,0.7019089207735496
Gambia_DHS_2019_2020,0.7,2291,983,XGBoost,0.6561546286876907,0.696588868940754,0.7390476190476191,0.5611353711790393,0.7107340403410272
Gambia_DHS_2019_2020,0.7,2291,983,TabPFN,0.6612410986775178,0.6997294860234445,0.7390476190476191,0.5720524017467249,0.7253150343106675
Gambia_DHS_2019_2020,0.9,2946,328,LogReg,0.6646341463414634,0.717948717948718,0.8,0.5098039215686274,0.740093370681606
Gambia_DHS_2019_2020,0.9,2946,328,LightGBM,0.6585365853658537,0.6906077348066298,0.7142857142857143,0.5947712418300654,0.7356862745098038
Gambia_DHS_2019_2020,0.9,2946,328,XGBoost,0.676829268292683,0.7103825136612022,0.7428571428571429,0.6013071895424836,0.7440896358543417
Gambia_DHS_2019_2020,0.9,2946,328,TabPFN,0.6920731707317073,0.7138810198300283,0.72,0.6601307189542484,0.7572362278244631
