country,subgroup,value,model,accuracy,f1,sensitivity,specificity,auc
Gabon_DHS_2019_2021,sex,female,LogReg,0.6929460580912863,0.8021390374331551,0.8928571428571429,0.2328767123287671,0.663894324853229
Gabon_DHS_2019_2021,sex,female,LightGBM,0.6431535269709544,0.7712765957446809,0.8630952380952381,0.136986301369863,0.5399543378995434
Gabon_DHS_2019_2021,sex,female,XGBoost,0.6680497925311203,0.797979797979798,0.9404761904761905,0.0410958904109589,0.5806425309849967
Gabon_DHS_2019_2021,sex,female,TabPFN,0.6929460580912863,0.8177339901477833,0.9880952380952381,0.0136986301369863,0.6491764514024788
Gabon_DHS_2019_2021,sex,male,LogReg,0.6388888888888888,0.7560321715817694,0.8103448275862069,0.2564102564102564,0.5417035072207486
Gabon_DHS_2019_2021,sex,male,LightGBM,0.6904761904761905,0.8020304568527918,0.9080459770114943,0.20512820512820512,0.5618184497494842
Gabon_DHS_2019_2021,sex,male,XGBoost,0.6865079365079365,0.8077858880778589,0.9540229885057471,0.08974358974358974,0.5772178013557324
Gabon_DHS_2019_2021,sex,male,TabPFN,0.6706349206349206,0.7930174563591023,0.9137931034482759,0.1282051282051282,0.5681181844974948
Gabon_DHS_2019_2021,wealth,poorest,LogReg,0.7253886010362695,0.8389057750759878,0.9387755102040817,0.043478260869565216,0.5375628512274475
Gabon_DHS_2019_2021,wealth,poorest,LightGBM,0.7253886010362695,0.8348909657320872,0.9115646258503401,0.13043478260869565,0.5183377698905649
Gabon_DHS_2019_2021,wealth,poorest,XGBoost,0.7512953367875648,0.8562874251497006,0.9727891156462585,0.043478260869565216,0.535936113575865
Gabon_DHS_2019_2021,wealth,poorest,TabPFN,0.7512953367875648,0.8571428571428571,0.9795918367346939,0.021739130434782608,0.5393374741200828
Gabon_DHS_2019_2021,wealth,richer,LogReg,0.671875,0.7407407407407407,0.7894736842105263,0.5,0.6285425101214575
Gabon_DHS_2019_2021,wealth,richer,LightGBM,0.625,0.6923076923076923,0.7105263157894737,0.5,0.6589068825910931
Gabon_DHS_2019_2021,wealth,richer,XGBoost,0.578125,0.6746987951807228,0.7368421052631579,0.34615384615384615,0.667004048582996
Gabon_DHS_2019_2021,wealth,richer,TabPFN,0.59375,0.74,0.9736842105263158,0.038461538461538464,0.5597165991902835
Gabon_DHS_2019_2021,wealth,middle,LogReg,0.6410256410256411,0.7627118644067796,0.8823529411764706,0.18518518518518517,0.6078431372549019
Gabon_DHS_2019_2021,wealth,middle,LightGBM,0.6410256410256411,0.7543859649122807,0.8431372549019608,0.25925925925925924,0.6071169208424111
Gabon_DHS_2019_2021,wealth,middle,XGBoost,0.6794871794871795,0.7967479674796748,0.9607843137254902,0.14814814814814814,0.6252723311546841
Gabon_DHS_2019_2021,wealth,middle,TabPFN,0.6410256410256411,0.7777777777777778,0.9607843137254902,0.037037037037037035,0.59840232389252
Gabon_DHS_2019_2021,wealth,poorer,LogReg,0.7079646017699115,0.8176795580110497,0.9135802469135802,0.1875,0.5952932098765432
Gabon_DHS_2019_2021,wealth,poorer,LightGBM,0.6814159292035398,0.8064516129032258,0.9259259259259259,0.0625,0.5111882716049383
Gabon_DHS_2019_2021,wealth,poorer,XGBoost,0.7168141592920354,0.8350515463917526,1.0,0.0,0.5679012345679012
Gabon_DHS_2019_2021,wealth,poorer,TabPFN,0.7168141592920354,0.8350515463917526,1.0,0.0,0.5709876543209877
Gabon_DHS_2019_2021,wealth,richest,LogReg,0.4444444444444444,0.4444444444444444,0.4166666666666667,0.47619047619047616,0.45039682539682546
Gabon_DHS_2019_2021,wealth,richest,LightGBM,0.37777777777777777,0.36363636363636365,0.3333333333333333,0.42857142857142855,0.35317460317460314
Gabon_DHS_2019_2021,wealth,richest,XGBoost,0.4222222222222222,0.4090909090909091,0.375,0.47619047619047616,0.38492063492063494
Gabon_DHS_2019_2021,wealth,richest,TabPFN,0.4444444444444444,0.5901639344262295,0.75,0.09523809523809523,0.4384920634920635
Gabon_DHS_2019_2021,education,secondary,LogReg,0.6666666666666666,0.7858546168958742,0.8771929824561403,0.18181818181818182,0.6326865142654616
