train_country,test_country,lg_accuracy,lg_f1,lg_sensitivity,lg_specificity,lg_auc,lg_precision,lg_bal_acc,lgbm_accuracy,lgbm_f1,lgbm_sensitivity,lgbm_specificity,lgbm_auc,lgbm_precision,lgbm_bal_acc,xgb_accuracy,xgb_f1,xgb_sensitivity,xgb_specificity,xgb_auc,xgb_precision,xgb_bal_acc,tabpfn_accuracy,tabpfn_f1,tabpfn_sensitivity,tabpfn_specificity,tabpfn_auc,tabpfn_precision,tabpfn_bal_acc
Gabon_DHS_2019_2021,Malawi_DHS_2024,0.483704974271012,0.6497090606816293,0.9908722109533469,0.00948316737790422,0.6257531952791908,0.4833044768736087,0.5001776891656255,0.5241362411173732,0.6435389133627019,0.8889452332657201,0.18302513039355145,0.603591581332587,0.5043153049482163,0.5359851818296357,0.4947316834109287,0.6457044673539519,0.9528397565922921,0.06638217164532954,0.6107789758371588,0.4883056133056133,0.5096109641188108,0.5037980887037491,0.6464117338920901,0.9386409736308317,0.09720246562351825,0.6263123511041735,0.4929427430093209,0.5179217196271749
Gabon_DHS_2019_2021,Rwanda_DHS_2019_2020,0.3946449359720605,0.538393253439858,0.9649960222752586,0.0656264341441028,0.5944363697301536,0.37334564481378885,0.5153112282096807,0.4610011641443539,0.5309017223910841,0.8337311058074781,0.24598439651216153,0.5985805784075446,0.38944630248978074,0.5398577511598198,0.4126891734575087,0.5258458646616542,0.8902147971360382,0.1372189077558513,0.593788323707568,0.3731243747915972,0.5137168524459448,0.44237485448195574,0.5349514563106796,0.8766905330151153,0.19183111519045434,0.6119757809684765,0.3849109325881942,0.5342608241027849
Gabon_DHS_2019_2021,Sierra_Leone_DHS_2019,0.6965811965811965,0.8210384809275751,0.9987735077677842,0.0018796992481203006,0.6035978642436017,0.6970042796005707,0.5003266035079522,0.6957264957264957,0.8159255429162358,0.9677023712183156,0.07048872180451128,0.6112653618920564,0.7053039332538736,0.5190955465114134,0.698005698005698,0.8208248816768087,0.9926410466067048,0.020676691729323307,0.610388911772481,0.6997118155619596,0.5066588691680141,0.7,0.8220381950312659,0.9942763695829926,0.023496240601503758,0.631305561020294,0.7006626332469029,0.5088863050922482
Gabon_DHS_2019_2021,Haiti_DHS_2016-2017,0.6657884069720308,0.7989759843959527,0.9996949359365467,0.004830917874396135,0.6117816625549336,0.6653807106598985,0.5022629269054714,0.6645723550871504,0.7916928886091882,0.9594264795607077,0.08091787439613526,0.5900351634229661,0.6738804371116349,0.5201721769784214,0.6680178354276449,0.7989690721649485,0.9929835265405735,0.024758454106280192,0.6090099271088475,0.6683778234086243,0.5088709903234269,0.6688285366842318,0.7984706462752836,0.9874923733984137,0.03804347826086957,0.6242573274324806,0.6701863354037267,0.5127679258296416
Gabon_DHS_2019_2021,Jordan_DHS_2023,0.47884747313057396,0.525307227660904,0.8252617801047121,0.2927943760984183,0.5950839168560623,0.3852734494347693,0.5590280781015652,0.5296135376171964,0.5142857142857142,0.712696335078534,0.4312829525483304,0.5957487187037054,0.4022903583302549,0.5719896438134322,0.4292247884747313,0.5222052067381318,0.8926701570680629,0.18031634446397188,0.5861890291592672,0.36904761904761907,0.5364932507660174,0.494626114795335,0.5307855626326964,0.8180628272251309,0.32091388400702986,0.622961887761205,0.3928346951602766,0.5694883556160804
Gabon_DHS_2019_2021,Armenia_DHS_2015-2016,0.6267450404114622,0.2111801242236025,0.3105022831050228,0.6873905429071804,0.5215955345504563,0.16,0.4989464130061016,0.5900073475385745,0.2520107238605898,0.4292237442922374,0.6208406304728546,0.5589408951690937,0.17836812144212524,0.5250321873825461,0.3938280675973549,0.2832319721980886,0.7442922374429224,0.3266199649737303,0.567765435949108,0.17489270386266095,0.5354561012083263,0.544452608376194,0.29705215419501135,0.5981735159817352,0.5341506129597198,0.5951467024926229,0.1975867269984917,0.5661620644707275
Gabon_DHS_2019_2021,Kyrgyz_Republic_DHS_2012,0.4594968205695328,0.6101694915254238,0.9610552763819096,0.06518518518518518,0.5569362243315342,0.4469763365468887,0.5131202307835474,0.5324854852087365,0.5844187761120668,0.746859296482412,0.3639506172839506,0.5906808735033191,0.4800161485668147,0.5554049568831814,0.46944982029306054,0.5969334173492964,0.8925879396984925,0.13679012345679012,0.5871362987778398,0.44840643736194385,0.5146890315776413,0.4957146806745922,0.594306049822064,0.8391959798994975,0.22567901234567903,0.6122720081890937,0.46005509641873277,0.5324374961225883
Gabon_DHS_2019_2021,Liberia_DHS_2019_2020,0.7121634168987929,0.8317046688382194,1.0,0.003215434083601286,0.5619905048147558,0.7118959107806692,0.5016077170418006,0.7107706592386258,0.8284219223354448,0.9817232375979112,0.04340836012861737,0.5731437794363335,0.7165316817532158,0.5125657988632643,0.7098421541318477,0.8301168795868442,0.9967362924281984,0.003215434083601286,0.5818949233081192,0.7112249650675361,0.4999758632558998,0.7116991643454039,0.8308362843911741,0.9954308093994778,0.012861736334405145,0.5941033934163358,0.7129499766245909,0.5041462728669415
Gabon_DHS_2019_2021,Bolivia_DHS_2008,0.44701429772918416,0.38233912635039924,0.2816608996539792,0.7031082529474812,0.464646914184626,0.5950292397660819,0.49238457630073024,0.595878889823381,0.7007162877608222,0.7785467128027682,0.3129689174705252,0.580411442049867,0.6370328425821065,0.5457578151366467,0.6110176619007569,0.7414034106793402,0.9176470588235294,0.13612004287245444,0.5844361122546238,0.6219512195121951,0.5268835508479919,0.62026913372582,0.7438297872340426,0.9072664359861592,0.1757770632368703,0.6108063804299855,0.6302884615384615,0.5415217496115148
Gabon_DHS_2019_2021,Congo_DRC_DHS_2021_2022,0.6479444741057128,0.784552048617918,0.9928878597419781,0.01958421211208195,0.6017767069919011,0.648482229664038,0.50623603592703,0.6493326214628937,0.7740470620613733,0.9303671849156467,0.13739078035552876,0.5959816260532264,0.6627002827521207,0.5338789826355878,0.6481580352375867,0.7811358352706742,0.9725438306318227,0.05724615848147032,0.5843943545402691,0.6526806526806527,0.5148949945566466,0.6518953550453818,0.7803826461870116,0.9579887528944757,0.09430551370894848,0.6063059329114531,0.6583314389634007,0.5261471333017121
